city,geocode_status,geocode_score,matched_address,lat,lon,station_id,station_name,station_lat,station_lon
"Burlington, VT",T,100.0,"Burlington, Vermont",44.47599180000003,-73.21099539999994,USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",,
"Fort Myers, FL",T,100.0,"Fort Myers, Florida",26.614149000000054,-81.82576899999998,USW00012835,"FORT MYERS PAGE FIELD AIRPORT, FL US",,
"El Paso, TX",T,100.0,"El Paso, Texas",31.760106200000052,-106.49229179999998,USW00023044,"EL PASO INTERNATIONAL AIRPORT, TX US",,
"Saipan, TT",T,89.1,Saipan,15.199271575000068,145.77737430900004,CQC00914855,"SAIPAN INTERNATIONAL AIRPORT, MP CQ",,
"Brownsville, TX",T,100.0,"Brownsville, Texas",25.903046000000074,-97.49888399999998,USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",,
"Fairbanks, AK",T,100.0,"Fairbanks, Alaska",64.83666100000005,-147.73889099999997,USW00026411,"FAIRBANKS INTERNATIONAL AIRPORT, AK US",,
"Honolulu, HI",T,100.0,"Honolulu, Hawaii",21.309920000000034,-157.85815799999997,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",,
"Kansas City, MO",T,100.0,"Kansas City, Missouri",39.099792000000036,-94.57855899999998,USW00003947,"KANSAS CITY INTERNATIONAL AIRPORT, MO US",,
"Mission/McAllen/Edinburg, TX",M,81.02,"Mission St, Edinburg, Texas, 78542",26.352222737000034,-98.12439338999997,USW00012919,"BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US",,
"Marietta, GA",T,100.0,"Marietta, Georgia",33.95230400000003,-84.54905099999996,USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",,
"Hyannis, MA",T,100.0,"Hyannis, Barnstable Town, Massachusetts",41.653477000000066,-70.28236999999996,USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",,
"Seattle, WA",T,100.0,"Seattle, Washington",47.603229000000056,-122.33027999999996,USW00024233,"SEATTLE TACOMA AIRPORT, WA US",,
"Sugar Land, TX",T,100.0,"Sugar Land, Texas",29.597075000000075,-95.62097099999994,USW00012918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",,
"Marathon, FL",T,100.0,"Marathon, Florida",24.711130000000026,-81.09471999999994,USW00012836,"KEY WEST INTERNATIONAL AIRPORT, FL US",,
"Boise, ID",T,100.0,"Boise, Idaho",43.61579100000006,-116.20157899999998,USW00024131,"BOISE AIR TERMINAL, ID US",,
"Jackson, WY",T,100.0,"Jackson, Wyoming",43.47962000000007,-110.76235179999998,USC00100470,"ASHTON 1 N, ID US",,
"Memphis, TN",T,100.0,"Memphis, Tennessee",35.143378100000064,-90.05213559999999,USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",,
"Huntsville, AL",T,100.0,"Huntsville, Alabama",34.72954020000003,-86.58530439999998,USW00003856,"HUNTSVILLE INTNL AIRPORT, AL US",,
"Louisville, KY",T,100.0,"Louisville, Kentucky",38.25607800000006,-85.75156899999996,USW00093821,"LOUISVILLE INTERNATIONAL AIRPORT, KY US",,
"Norfolk, VA",T,100.0,"Norfolk, Virginia",36.846159200000045,-76.28589369999997,USW00013737,"NORFOLK INTERNATIONAL AIRPORT, VA US",,
"Portland, OR",T,100.0,"Portland, Oregon",45.51601800000003,-122.68142499999999,USW00024232,"SALEM AIRPORT MCNARY FIELD, OR US",,
"Milwaukee, WI",T,100.0,"Milwaukee, Wisconsin",43.04107200000004,-87.90942099999995,USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",,
"Madison, WI",T,100.0,"Madison, Wisconsin",43.07392600000003,-89.38524399999994,USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",,
"Salt Lake City, UT",M,100.0,"Salt Lake City, Utah",40.758478000000025,-111.88814199999996,USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",,
"Marana, AZ",T,100.0,"Marana, Arizona",32.45338400000003,-111.21217799999994,USW00023160,"TUCSON INTERNATIONAL AIRPORT, AZ US",,
"Harrisburg, PA",T,100.0,"Harrisburg, Pennsylvania",40.25959330000006,-76.88187289999996,USW00014711,"MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US",,
"Shreveport, LA",T,100.0,"Shreveport, Louisiana",32.51425000000006,-93.74777149999994,USW00013957,"SHREVEPORT AIRPORT, LA US",,
"Portland, ME",T,100.0,"Portland, Maine",43.65921800000007,-70.25651899999997,USW00014764,"PORTLAND JETPORT, ME US",,
"Waco, TX",T,100.0,"Waco, Texas",31.556825100000026,-97.13002189999997,USW00013959,"WACO REGIONAL AIRPORT, TX US",,
"Atlantic City, NJ",T,100.0,"Atlantic City, New Jersey",39.36061100000006,-74.43187529999994,USW00093730,"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",,
"Augusta, GA",T,100.0,"Augusta, Georgia",33.47249400000004,-81.96439699999996,USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",,
"Buffalo, NY",T,100.0,"Buffalo, New York",42.887691000000075,-78.87937399999998,USW00014733,"BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US",,
"Jackson/Vicksburg, MS",T,98.21,"Jackson St, Vicksburg, Mississippi, 39183",32.35186293300006,-90.86304095899999,USW00013927,"JACKSON HAWKINS FIELD, MS US",,
"Santa Rosa, CA",T,100.0,"Santa Rosa, California",38.43969800000008,-122.71564199999995,USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",,
"Waterbury, CT",T,100.0,"Waterbury, Connecticut",41.55426090000003,-73.04306919999993,USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",,
"Thermal, CA",T,100.0,"Thermal, California",33.640573000000074,-116.13949299999996,USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",,
"Wilmington, NC",T,100.0,"Wilmington, North Carolina",34.23670000000004,-77.94619699999998,USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",,
"Lincoln, NE",T,100.0,"Lincoln, Nebraska",40.81359900000007,-96.70260999999994,USW00014939,"LINCOLN AIRPORT, NE US",,
"Santa Ana, CA",T,100.0,"Santa Ana, California",33.749738000000036,-117.86978099999999,USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",,
"Tucson, AZ",T,100.0,"Tucson, Arizona",32.22187800000006,-110.97122499999995,USW00023160,"TUCSON INTERNATIONAL AIRPORT, AZ US",,
"Morristown, NJ",T,100.0,"Morristown, New Jersey",40.796640000000025,-74.48159499999997,USW00094728,"NY CITY CENTRAL PARK, NY US",,
"Scottsbluff, NE",T,100.0,"Scottsbluff, Nebraska",41.86759500000005,-103.66417499999994,USW00024028,"SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US",,
"Broomfield, CO",T,100.0,"Broomfield, Colorado",39.92398500000007,-105.08166099999994,USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",,
"Baton Rouge, LA",T,100.0,"Baton Rouge, Louisiana",30.44331900000003,-91.18748799999997,USW00013970,"BATON ROUGE METRO AIRPORT, LA US",,
"Charleston, SC",T,100.0,"Charleston, South Carolina",32.776470000000074,-79.93102699999997,USW00013880,"CHARLESTON INTL. AIRPORT, SC US",,
"Des Moines, IA",T,100.0,"Des Moines, Iowa",41.58882200000005,-93.62030899999996,USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",,
"Corpus Christi, TX",T,100.0,"Corpus Christi, Texas",27.79641600000008,-97.40413099999995,USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",,
"Carlsbad, CA",T,100.0,"Carlsbad, California",33.16603680000003,-117.33792719999997,USW00023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",,
"Kona, HI",T,100.0,"Kona, Hawaii",19.666670000000067,-155.83332999999996,USW00021510,"KAILUA KONA KE AHOLE AIRPORT, HI US",,
"Springfield, OH",T,100.0,"Springfield, Ohio",39.924581000000046,-83.81013699999994,USW00093815,"DAYTON INTERNATIONAL AIRPORT, OH US",,
