iso_a3,country,month,origin_risk,fruit_production_score,risk_bucket,total_passengers,passenger_score,route_risk
BRA,Brazil,5,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),345646.0,0.4775291869953361,0.18500699334341264
BLZ,Belize,3,0.6334903213098942,0.5977738352544022,0.5–1 (very high),127516.0,0.2900457418758496,0.1837411702154986
BRA,Brazil,4,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),329738.0,0.4664108590921943,0.1806994693796753
AUS,Australia,3,1.0937089573567098,0.7586128825508228,>1 (extreme),40650.0,0.1637624882427032,0.17910850027006736
ISR,Israel,5,0.4690460450220649,0.706453764521454,0.25–0.5 (high),220290.0,0.381225150870895,0.17881214927893327
AUS,Australia,2,1.0937089573567098,0.7586128825508228,>1 (extreme),40107.0,0.1626650468136453,0.1779082187489324
BLZ,Belize,1,0.6334903213098942,0.5977738352544022,0.5–1 (very high),119039.0,0.280239137998435,0.17752878157423638
ISR,Israel,6,0.4690460450220649,0.706453764521454,0.25–0.5 (high),210354.0,0.3725285318954717,0.17473303454344716
BLZ,Belize,2,0.6334903213098942,0.5977738352544022,0.5–1 (very high),110947.0,0.2705465095223462,0.17138859524658145
ARG,Argentina,1,0.3643898599690228,0.8010294300800275,0.25–0.5 (high),302205.0,0.4465138930143045,0.16270513494970565
MEX,Mexico,1,0.1615052740754405,0.8674951575411742,0.1–0.25 (elevated),3622086.0,1.0,0.1615052740754405
MEX,Mexico,12,0.1615052740754405,0.8674951575411742,0.1–0.25 (elevated),3519436.0,1.0,0.1615052740754405
MEX,Mexico,2,0.1615052740754405,0.8674951575411742,0.1–0.25 (elevated),2934418.0,1.0,0.1615052740754405
AUS,Australia,4,1.0937089573567098,0.7586128825508228,>1 (extreme),30795.0,0.1425358984967163,0.1558927889307454
BLZ,Belize,4,0.6334903213098942,0.5977738352544022,0.5–1 (very high),91157.0,0.245233143706879,0.15535282300270623
BLZ,Belize,12,0.6334903213098942,0.5977738352544022,0.5–1 (very high),88747.0,0.241969704468117,0.1532854658307676
BLZ,Belize,7,0.6334903213098942,0.5977738352544022,0.5–1 (very high),88431.0,0.2415385315119022,0.15301232193619493
AUS,Australia,12,1.0937089573567098,0.7586128825508228,>1 (extreme),28626.0,0.137424601718515,0.15030251786071816
BLZ,Belize,6,0.6334903213098942,0.5977738352544022,0.5–1 (very high),82831.0,0.2337656017549035,0.1480882461669146
ARG,Argentina,12,0.3643898599690228,0.8010294300800275,0.25–0.5 (high),227971.0,0.3878144220928191,0.14131564296036983
BLZ,Belize,5,0.6334903213098942,0.5977738352544022,0.5–1 (very high),73310.0,0.2199205248284527,0.13931752393621707
ARG,Argentina,2,0.3643898599690228,0.8010294300800275,0.25–0.5 (high),217368.0,0.3786883618381554,0.1379901991421041
AUS,Australia,10,1.0937089573567098,0.7586128825508228,>1 (extreme),23226.0,0.1237859529447405,0.13538580553059887
NIC,Nicaragua,1,0.5455801592670249,0.6555266487282663,0.5–1 (very high),90802.0,0.2447551623644318,0.13353356046421322
ARG,Argentina,3,0.3643898599690228,0.8010294300800275,0.25–0.5 (high),198255.0,0.3616564608741033,0.13178394713480687
BLZ,Belize,8,0.6334903213098942,0.5977738352544022,0.5–1 (very high),64420.0,0.2061553044080732,0.13059739002920934
ZAF,South Africa,1,0.5506646732932888,0.8011471292156598,0.5–1 (very high),84875.0,0.2366323120852929,0.13030505482508337
BLZ,Belize,11,0.6334903213098942,0.5977738352544022,0.5–1 (very high),62040.0,0.2023112568250228,0.12816222309069222
ZAF,South Africa,12,0.5506646732932888,0.8011471292156598,0.5–1 (very high),81613.0,0.2320405171233985,0.12777651555256203
ARG,Argentina,11,0.3643898599690228,0.8010294300800275,0.25–0.5 (high),178665.0,0.3433237878150225,0.12510370696595052
NIC,Nicaragua,3,0.5455801592670249,0.6555266487282663,0.5–1 (very high),79435.0,0.2289233557017909,0.12489604086372486
NIC,Nicaragua,7,0.5455801592670249,0.6555266487282663,0.5–1 (very high),75902.0,0.2237745865064406,0.1220869745460965
ZAF,South Africa,2,0.5506646732932888,0.8011471292156598,0.5–1 (very high),73391.0,0.2200419860526347,0.1211693483604805
AUS,Australia,11,1.0937089573567098,0.7586128825508228,>1 (extreme),18485.0,0.1104317313156019,0.12078017371628327
NIC,Nicaragua,6,0.5455801592670249,0.6555266487282663,0.5–1 (very high),68138.0,0.2120209833672405,0.1156744418734503
NIC,Nicaragua,2,0.5455801592670249,0.6555266487282663,0.5–1 (very high),67055.0,0.2103292808582535,0.11475148254916474
NIC,Nicaragua,12,0.5455801592670249,0.6555266487282663,0.5–1 (very high),66880.0,0.2100546430933292,0.1146016456336366
NIC,Nicaragua,8,0.5455801592670249,0.6555266487282663,0.5–1 (very high),64209.0,0.2058174089840169,0.11228989477342634
NIC,Nicaragua,4,0.5455801592670249,0.6555266487282663,0.5–1 (very high),60461.0,0.1997201191516815,0.10896333441560357
ECU,Ecuador,8,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),205410.0,0.3681246886336606,0.1080820716234457
ECU,Ecuador,7,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),195105.0,0.3587718443089792,0.1053360596840261
NIC,Nicaragua,5,0.5455801592670249,0.6555266487282663,0.5–1 (very high),56158.0,0.1924819322655277,0.1050143232614513
BLZ,Belize,10,0.6334903213098942,0.5977738352544022,0.5–1 (very high),41637.0,0.1657386773649541,0.10499384797740166
PER,Peru,1,0.3798160586265688,0.8005245043468159,0.25–0.5 (high),114265.0,0.274562212270868,0.10428313731251244
BLZ,Belize,9,0.6334903213098942,0.5977738352544022,0.5–1 (very high),38219.0,0.1587902429852558,0.10059208204960587
ECU,Ecuador,9,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),173440.0,0.3382663411719881,0.09931560702991848
NIC,Nicaragua,11,0.5455801592670249,0.6555266487282663,0.5–1 (very high),50083.0,0.1817729775330601,0.09917173003292826
ECU,Ecuador,10,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),171906.0,0.3367671108013432,0.0988754302927876
ECU,Ecuador,6,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),171223.0,0.336097440002004,0.0986788137399371
NIC,Nicaragua,10,0.5455801592670249,0.6555266487282663,0.5–1 (very high),49439.0,0.1806005183063121,0.098532059541265
NIC,Nicaragua,9,0.5455801592670249,0.6555266487282663,0.5–1 (very high),48896.0,0.1796059913030534,0.09798946534043176
ECU,Ecuador,3,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),164369.0,0.3293018040710705,0.09668360279078793
ECU,Ecuador,11,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),163542.0,0.3284723410718932,0.09644007096025838
ECU,Ecuador,1,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),154864.0,0.3196387250817002,0.09384650539504256
ECU,Ecuador,5,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),154807.0,0.3195798957730189,0.09382923300405445
PER,Peru,4,0.3798160586265688,0.8005245043468159,0.25–0.5 (high),92482.0,0.2470089901124402,0.09381798106983615
PER,Peru,3,0.3798160586265688,0.8005245043468159,0.25–0.5 (high),91177.0,0.2452600445147204,0.09315370344615792
ISR,Israel,11,0.2345230225110324,0.706453764521454,0.1–0.25 (elevated),237271.0,0.3956457307743938,0.09278803262479703
ECU,Ecuador,4,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),147838.0,0.3123037455084106,0.09169294218106934
ECU,Ecuador,12,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),145913.0,0.3102638282888549,0.09109401881125066
ECU,Ecuador,2,0.2936018011304958,0.8024615593689346,0.25–0.5 (high),145841.0,0.3101872698188015,0.09107154110655119
ISR,Israel,3,0.2345230225110324,0.706453764521454,0.1–0.25 (elevated),225415.0,0.3856342153534717,0.09044010176836656
JPN,Japan,11,0.1493894313622935,0.747812049690085,0.1–0.25 (elevated),552746.0,0.6038748710104489,0.0902125235942293
PER,Peru,2,0.3798160586265688,0.8005245043468159,0.25–0.5 (high),83930.0,0.2353112902006549,0.08937500679434549
ISR,Israel,4,0.2345230225110324,0.706453764521454,0.1–0.25 (elevated),198456.0,0.3618397463728536,0.084859750983987
JAM,Jamaica,7,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),306047.0,0.4493432445445691,0.08468257660737398
JAM,Jamaica,8,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),271266.0,0.4230403913586685,0.0797255790182256
JAM,Jamaica,6,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),252057.0,0.4077871486925412,0.07685097501278568
PAN,Panama,7,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),607761.0,0.6332140863056382,0.0748511586690296
JAM,Jamaica,1,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),234123.0,0.3930123462732298,0.07406653716282918
PAN,Panama,8,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),583486.0,0.6204394062879082,0.07334108550162431
PAN,Panama,1,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),576691.0,0.6168161558514128,0.07291278723854866
JAM,Jamaica,5,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),226653.0,0.3866917347076735,0.07287536386801717
AUS,Australia,5,0.4687324102957328,0.7586128825508228,0.25–0.5 (high),35535.0,0.1531130872662172,0.07176906644211486
JAM,Jamaica,12,0.1884585506414007,0.6302909078447454,0.1–0.25 (elevated),219409.0,0.3804620753126578,0.07170133128744294
PAN,Panama,12,0.1182082968269607,0.6613942516250938,0.1–0.25 (elevated),553079.0,0.604056744831892,0.07140451899341595
