iso_a3,country,month,max_risk,mean_risk,total_risk,top3_mean,high_species_count,moderate_species_count,base_origin_risk,multi_species_boost,origin_country_risk_month
ETH,Ethiopia,12,0.2293,0.0448807555555555,0.4039268,0.1266076666666666,0,1,0.1882230666666666,1.1,0.2070453733333333
FJI,Fiji,1,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,2,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,3,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,4,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,5,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,6,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,7,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,8,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,9,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,10,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,11,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FJI,Fiji,12,0.060059,0.0210285,0.210285,0.0600563333333333,0,0,0.0600579333333333,1.0,0.0600579333333333
FRA,France,1,0.0004659,8.158333333333333e-05,0.00073425,0.0002415833333333,0,0,0.0003761733333333,1.0,0.0003761733333333
FRA,France,2,0.0018636,0.0003263333333333,0.002937,0.0009663333333333,0,0,0.0015046933333333,1.0,0.0015046933333333
FRA,France,3,0.0018636,0.0003263333333333,0.002937,0.0009663333333333,0,0,0.0015046933333333,1.0,0.0015046933333333
FRA,France,4,0.0018636,0.0003263333333333,0.002937,0.0009663333333333,0,0,0.0015046933333333,1.0,0.0015046933333333
FRA,France,5,0.004659,0.0008158333333333,0.0073425,0.0024158333333333,0,0,0.0037617333333333,1.0,0.0037617333333333
FRA,France,6,0.004659,0.0008158333333333,0.0073425,0.0024158333333333,0,0,0.0037617333333333,1.0,0.0037617333333333
FRA,France,7,0.009318,0.0016316666666666,0.014685,0.0048316666666666,0,0,0.0075234666666666,1.0,0.0075234666666666
FRA,France,8,0.009318,0.0016316666666666,0.014685,0.0048316666666666,0,0,0.0075234666666666,1.0,0.0075234666666666
FRA,France,9,0.004659,0.0008158333333333,0.0073425,0.0024158333333333,0,0,0.0037617333333333,1.0,0.0037617333333333
