country,common_name,scientific_name,som_index,som_index_clean
Bosnia-Hercegovina,Oriental Fruit Fly,Bactrocera dorsalis,0.00043516,0.00043516
Bosnia-Hercegovina,Peach Fruit Fly,Bactrocera zonata,0.0037809,0.0037809
Bosnia-Hercegovina,Queensland Fruit Fly,Bactrocera tryoni,0.00013345,0.00013345
Bosnia-Hercegovina,Sapote Fruit Fly,Anastrepha serpentina,0.00012865,0.00012865
Bosnia-Hercegovina,Zeugodacus Tau,Bactrocera tau,0.00027209,0.00027209
Brazil,Caribbean Fruit Fly,Anastrepha suspensa,0.10162,0.10162
Brazil,Guava Fruit Fly,Bactrocera correcta,1.04e-09,0.0
Brazil,Melon Fruit Fly,Bactrocera cucurbitae,0.10149,0.10149
Brazil,Mexican Fruit Fly,Anastrepha ludens,0.3554,0.3554
Brazil,Oriental Fruit Fly,Bactrocera dorsalis,0.10036,0.10036
Brazil,Peach Fruit Fly,Bactrocera zonata,0.10037,0.10037
Brazil,Queensland Fruit Fly,Bactrocera tryoni,3.74e-07,0.0
Brazil,Zeugodacus Tau,Bactrocera tau,3.74e-07,0.0
Bulgaria,Caribbean Fruit Fly,Anastrepha suspensa,3.16e-05,0.0
Bulgaria,Guava Fruit Fly,Bactrocera correcta,2.79e-05,0.0
Bulgaria,Melon Fruit Fly,Bactrocera cucurbitae,0.001674,0.001674
Bulgaria,Mexican Fruit Fly,Anastrepha ludens,6.91e-08,0.0
Bulgaria,Oriental Fruit Fly,Bactrocera dorsalis,2.82e-05,0.0
Bulgaria,Peach Fruit Fly,Bactrocera zonata,0.00062,0.00062
Bulgaria,Queensland Fruit Fly,Bactrocera tryoni,6.97e-06,0.0
Bulgaria,Sapote Fruit Fly,Anastrepha serpentina,7.03e-08,0.0
Bulgaria,Zeugodacus Tau,Bactrocera tau,1.42e-05,0.0
Burkina Faso,Caribbean Fruit Fly,Anastrepha suspensa,0.001186,0.001186
Burkina Faso,Guava Fruit Fly,Bactrocera correcta,0.008614,0.008614
Burkina Faso,Mexican Fruit Fly,Anastrepha ludens,0.001,0.001
Burkina Faso,Oriental Fruit Fly,Bactrocera dorsalis,0.008951,0.008951
Burkina Faso,Peach Fruit Fly,Bactrocera zonata,0.085408,0.085408
Burkina Faso,Queensland Fruit Fly,Bactrocera tryoni,3.32e-05,0.0
Burkina Faso,Sapote Fruit Fly,Anastrepha serpentina,0.002278,0.002278
Burkina Faso,Zeugodacus Tau,Bactrocera tau,0.003227,0.003227
Burundi,Caribbean Fruit Fly,Anastrepha suspensa,0.01759,0.01759
Burundi,Guava Fruit Fly,Bactrocera correcta,0.000484,0.000484
Burundi,Melon Fruit Fly,Bactrocera cucurbitae,0.22618,0.22618
Burundi,Mexican Fruit Fly,Anastrepha ludens,0.013195,0.013195
Burundi,Oriental Fruit Fly,Bactrocera dorsalis,0.000649,0.000649
Burundi,Peach Fruit Fly,Bactrocera zonata,0.01811,0.01811
Burundi,Queensland Fruit Fly,Bactrocera tryoni,0.000159,0.000159
Burundi,Sapote Fruit Fly,Anastrepha serpentina,0.018178,0.018178
Burundi,Zeugodacus Tau,Bactrocera tau,0.000325,0.000325
Cambodia,Caribbean Fruit Fly,Anastrepha suspensa,0.021528,0.021528
Cambodia,Guava Fruit Fly,Bactrocera correcta,4.15e-12,0.0
Cambodia,Mediterranean Fruit Fly,Ceratitis capitata,0.003227,0.003227
Cambodia,Mexican Fruit Fly,Anastrepha ludens,0.002669,0.002669
Cambodia,Oriental Fruit Fly,Bactrocera dorsalis,2.24e-07,0.0
Cambodia,Peach Fruit Fly,Bactrocera zonata,2.35e-07,0.0
Cambodia,Queensland Fruit Fly,Bactrocera tryoni,0.060055,0.060055
Cambodia,Sapote Fruit Fly,Anastrepha serpentina,0.002692,0.002692
Cameroon,Caribbean Fruit Fly,Anastrepha suspensa,0.000263,0.000263
Cameroon,Guava Fruit Fly,Bactrocera correcta,0.004188,0.004188
Cameroon,Mexican Fruit Fly,Anastrepha ludens,0.000894,0.000894
Cameroon,Oriental Fruit Fly,Bactrocera dorsalis,0.004999,0.004999
Cameroon,Peach Fruit Fly,Bactrocera zonata,0.089039,0.089039
Cameroon,Queensland Fruit Fly,Bactrocera tryoni,0.000253,0.000253
Cameroon,Sapote Fruit Fly,Anastrepha serpentina,0.005135,0.005135
Cameroon,Zeugodacus Tau,Bactrocera tau,0.002954,0.002954
Canada,Caribbean Fruit Fly,Anastrepha suspensa,0.10219,0.10219
Canada,Guava Fruit Fly,Bactrocera correcta,1.17e-10,0.0
Canada,Mediterranean Fruit Fly,Ceratitis capitata,0.055065,0.055065
Canada,Melon Fruit Fly,Bactrocera cucurbitae,0.051171,0.051171
Canada,Mexican Fruit Fly,Anastrepha ludens,0.045674,0.045674
Canada,Oriental Fruit Fly,Bactrocera dorsalis,2.83e-05,0.0
Canada,Peach Fruit Fly,Bactrocera zonata,2.86e-05,0.0
Canada,Queensland Fruit Fly,Bactrocera tryoni,0.051079,0.051079
Canada,Sapote Fruit Fly,Anastrepha serpentina,0.046849,0.046849
Canada,Zeugodacus Tau,Bactrocera tau,0.051079,0.051079
Cape Verde,Caribbean Fruit Fly,Anastrepha suspensa,0.01759,0.01759
Cape Verde,Guava Fruit Fly,Bactrocera correcta,0.000484,0.000484
Cape Verde,Melon Fruit Fly,Bactrocera cucurbitae,0.22618,0.22618
Cape Verde,Mexican Fruit Fly,Anastrepha ludens,0.013195,0.013195
Cape Verde,Oriental Fruit Fly,Bactrocera dorsalis,0.000649,0.000649
Cape Verde,Peach Fruit Fly,Bactrocera zonata,0.01811,0.01811
Cape Verde,Queensland Fruit Fly,Bactrocera tryoni,0.000159,0.000159
Cape Verde,Sapote Fruit Fly,Anastrepha serpentina,0.018178,0.018178
Cape Verde,Zeugodacus Tau,Bactrocera tau,0.000325,0.000325
Chile,Caribbean Fruit Fly,Anastrepha suspensa,0.01759,0.01759
Chile,Guava Fruit Fly,Bactrocera correcta,0.000484,0.000484
Chile,Melon Fruit Fly,Bactrocera cucurbitae,0.22618,0.22618
Chile,Mexican Fruit Fly,Anastrepha ludens,0.013195,0.013195
Chile,Oriental Fruit Fly,Bactrocera dorsalis,0.000649,0.000649
Chile,Peach Fruit Fly,Bactrocera zonata,0.01811,0.01811
Chile,Queensland Fruit Fly,Bactrocera tryoni,0.000159,0.000159
Chile,Sapote Fruit Fly,Anastrepha serpentina,0.018178,0.018178
Chile,Zeugodacus Tau,Bactrocera tau,0.000325,0.000325
China,Caribbean Fruit Fly,Anastrepha suspensa,5.9e-12,0.0
China,Mediterranean Fruit Fly,Ceratitis capitata,0.20434,0.20434
China,Mexican Fruit Fly,Anastrepha ludens,1.29e-11,0.0
China,Peach Fruit Fly,Bactrocera zonata,0.39612,0.39612
China,Queensland Fruit Fly,Bactrocera tryoni,0.096532,0.096532
China,Sapote Fruit Fly,Anastrepha serpentina,9.21e-10,0.0
Colombia,Caribbean Fruit Fly,Anastrepha suspensa,0.069163,0.069163
Colombia,Guava Fruit Fly,Bactrocera correcta,2.49e-09,0.0
Colombia,Melon Fruit Fly,Bactrocera cucurbitae,0.055497,0.055497
Colombia,Mexican Fruit Fly,Anastrepha ludens,0.38034,0.38034
Colombia,Oriental Fruit Fly,Bactrocera dorsalis,0.054334,0.054334
Colombia,Peach Fruit Fly,Bactrocera zonata,0.054347,0.054347
Colombia,Queensland Fruit Fly,Bactrocera tryoni,3.01e-05,0.0
Colombia,Zeugodacus Tau,Bactrocera tau,3.01e-05,0.0
Congo,Caribbean Fruit Fly,Anastrepha suspensa,0.00516,0.00516
Congo,Guava Fruit Fly,Bactrocera correcta,0.000748,0.000748
Congo,Melon Fruit Fly,Bactrocera cucurbitae,0.35549,0.35549
Congo,Mexican Fruit Fly,Anastrepha ludens,0.015173,0.015173
Congo,Oriental Fruit Fly,Bactrocera dorsalis,0.001859,0.001859
Congo,Peach Fruit Fly,Bactrocera zonata,0.037155,0.037155
Congo,Queensland Fruit Fly,Bactrocera tryoni,1.01e-05,0.0
Congo,Sapote Fruit Fly,Anastrepha serpentina,0.035844,0.035844
Congo,Zeugodacus Tau,Bactrocera tau,0.000282,0.000282
Costa Rica,Caribbean Fruit Fly,Anastrepha suspensa,0.10162,0.10162
Costa Rica,Guava Fruit Fly,Bactrocera correcta,1.04e-09,0.0
Costa Rica,Melon Fruit Fly,Bactrocera cucurbitae,0.10149,0.10149
Costa Rica,Oriental Fruit Fly,Bactrocera dorsalis,0.10036,0.10036
Costa Rica,Peach Fruit Fly,Bactrocera zonata,0.10037,0.10037
Costa Rica,Queensland Fruit Fly,Bactrocera tryoni,3.74e-07,0.0
Costa Rica,Zeugodacus Tau,Bactrocera tau,3.74e-07,0.0
Croatia,Caribbean Fruit Fly,Anastrepha suspensa,1.4e-08,0.0
Croatia,Guava Fruit Fly,Bactrocera correcta,0.00019,0.00019
Croatia,Melon Fruit Fly,Bactrocera cucurbitae,0.004983,0.004983
Croatia,Mexican Fruit Fly,Anastrepha ludens,6.91e-12,0.0
Croatia,Oriental Fruit Fly,Bactrocera dorsalis,0.000194,0.000194
Croatia,Peach Fruit Fly,Bactrocera zonata,0.009318,0.009318
Croatia,Queensland Fruit Fly,Bactrocera tryoni,1.47e-08,0.0
Croatia,Sapote Fruit Fly,Anastrepha serpentina,7.33e-12,0.0
Croatia,Zeugodacus Tau,Bactrocera tau,2.96e-05,0.0
Cyprus,Caribbean Fruit Fly,Anastrepha suspensa,2.54e-10,0.0
Cyprus,Guava Fruit Fly,Bactrocera correcta,0.0011658,0.0011658
Cyprus,Melon Fruit Fly,Bactrocera cucurbitae,0.02164,0.02164
Cyprus,Mexican Fruit Fly,Anastrepha ludens,1.25e-13,0.0
Cyprus,Oriental Fruit Fly,Bactrocera dorsalis,0.0012162,0.0012162
Cyprus,Peach Fruit Fly,Bactrocera zonata,0.041599,0.041599
Cyprus,Queensland Fruit Fly,Bactrocera tryoni,2.78e-07,0.0
Cyprus,Sapote Fruit Fly,Anastrepha serpentina,1.57e-13,0.0
Cyprus,Zeugodacus Tau,Bactrocera tau,0.00016385,0.00016385
Czech Republic,Caribbean Fruit Fly,Anastrepha suspensa,0.002122,0.002122
Czech Republic,Guava Fruit Fly,Bactrocera correcta,1.79e-07,0.0
Czech Republic,Mediterranean Fruit Fly,Ceratitis capitata,0.056451,0.056451
Czech Republic,Melon Fruit Fly,Bactrocera cucurbitae,0.002398,0.002398
Czech Republic,Mexican Fruit Fly,Anastrepha ludens,2e-05,0.0
Czech Republic,Oriental Fruit Fly,Bactrocera dorsalis,1.8e-07,0.0
Czech Republic,Peach Fruit Fly,Bactrocera zonata,6.24e-06,0.0
Czech Republic,Queensland Fruit Fly,Bactrocera tryoni,0.002021,0.002021
Czech Republic,Sapote Fruit Fly,Anastrepha serpentina,2.02e-05,0.0
Czech Republic,Zeugodacus Tau,Bactrocera tau,0.002021,0.002021
Denmark,Caribbean Fruit Fly,Anastrepha suspensa,0.009485,0.009485
Denmark,Guava Fruit Fly,Bactrocera correcta,8.04e-11,0.0
Denmark,Mediterranean Fruit Fly,Ceratitis capitata,0.001339,0.001339
Denmark,Melon Fruit Fly,Bactrocera cucurbitae,0.034766,0.034766
Denmark,Mexican Fruit Fly,Anastrepha ludens,0.000345,0.000345
Denmark,Oriental Fruit Fly,Bactrocera dorsalis,1.07e-08,0.0
Denmark,Peach Fruit Fly,Bactrocera zonata,5.9e-08,0.0
Denmark,Queensland Fruit Fly,Bactrocera tryoni,0.034755,0.034755
Denmark,Sapote Fruit Fly,Anastrepha serpentina,0.000346,0.000346
Denmark,Zeugodacus Tau,Bactrocera tau,0.034755,0.034755
Dominican Republic,Guava Fruit Fly,Bactrocera correcta,1.15e-09,0.0
Dominican Republic,Mediterranean Fruit Fly,Ceratitis capitata,0.35611,0.35611
Dominican Republic,Melon Fruit Fly,Bactrocera cucurbitae,0.016971,0.016971
Dominican Republic,Mexican Fruit Fly,Anastrepha ludens,0.27768,0.27768
Dominican Republic,Oriental Fruit Fly,Bactrocera dorsalis,0.001254,0.001254
Dominican Republic,Peach Fruit Fly,Bactrocera zonata,0.001258,0.001258
Dominican Republic,Queensland Fruit Fly,Bactrocera tryoni,0.01528,0.01528
Dominican Republic,Sapote Fruit Fly,Anastrepha serpentina,0.30139,0.30139
Dominican Republic,Zeugodacus Tau,Bactrocera tau,0.01528,0.01528
